Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII surrogate iSOUPTR 20%,DTLZ7,8,Time,20.03558230400085
NSGAII surrogate iSOUPTR 20%,DTLZ7,9,Time,19.907493591308594
NSGAII surrogate iSOUPTR 30%,DTLZ7,0,EP,0.5940448576786181
NSGAII surrogate iSOUPTR 30%,DTLZ7,0,HV,0.3288445101950739
NSGAII surrogate iSOUPTR 30%,DTLZ7,1,EP,0.5618124736161801
NSGAII surrogate iSOUPTR 30%,DTLZ7,1,HV,0.3959582743063304
NSGAII surrogate iSOUPTR 30%,DTLZ7,2,EP,0.5987792679038206
NSGAII surrogate iSOUPTR 30%,DTLZ7,2,HV,0.35417754942453394
NSGAII surrogate iSOUPTR 30%,DTLZ7,3,EP,0.6475300029991937
NSGAII surrogate iSOUPTR 30%,DTLZ7,3,HV,0.3609641506133981
NSGAII surrogate iSOUPTR 30%,DTLZ7,4,EP,0.5854074169145267
NSGAII surrogate iSOUPTR 30%,DTLZ7,4,HV,0.32035338470118074
NSGAII surrogate iSOUPTR 30%,DTLZ7,5,EP,0.4953588773491418
NSGAII surrogate iSOUPTR 30%,DTLZ7,5,HV,0.5081853568405922
NSGAII surrogate iSOUPTR 30%,DTLZ7,6,EP,0.5735274495960132
NSGAII surrogate iSOUPTR 30%,DTLZ7,6,HV,0.573522414791245
NSGAII surrogate iSOUPTR 30%,DTLZ7,7,EP,0.5536508283530901
NSGAII surrogate iSOUPTR 30%,DTLZ7,7,HV,0.3579234357887591
NSGAII surrogate iSOUPTR 30%,DTLZ7,8,EP,0.6273828592542506
NSGAII surrogate iSOUPTR 30%,DTLZ7,8,HV,0.5202570505916198
NSGAII surrogate iSOUPTR 30%,DTLZ7,9,EP,0.6436829950568406
NSGAII surrogate iSOUPTR 30%,DTLZ7,9,HV,0.283259691608282
NSGAII surrogate iSOUPTR 30%,DTLZ7,0,Time,22.674028635025024
NSGAII surrogate iSOUPTR 30%,DTLZ7,1,Time,23.16265773773193
NSGAII surrogate iSOUPTR 30%,DTLZ7,2,Time,23.07626175880432
NSGAII surrogate iSOUPTR 30%,DTLZ7,3,Time,23.93009328842163
NSGAII surrogate iSOUPTR 30%,DTLZ7,4,Time,22.983014822006226
NSGAII surrogate iSOUPTR 30%,DTLZ7,5,Time,22.803853034973145
NSGAII surrogate iSOUPTR 30%,DTLZ7,6,Time,22.240328073501587
NSGAII surrogate iSOUPTR 30%,DTLZ7,7,Time,23.14877557754517
NSGAII surrogate iSOUPTR 30%,DTLZ7,8,Time,22.69959688186645
NSGAII surrogate iSOUPTR 30%,DTLZ7,9,Time,22.345993280410767
NSGAII surrogate LSTM 10%,DTLZ7,0,EP,0.6335703872503964
NSGAII surrogate LSTM 10%,DTLZ7,0,HV,0.3111288788960778
NSGAII surrogate LSTM 10%,DTLZ7,1,EP,0.6010524506880097
NSGAII surrogate LSTM 10%,DTLZ7,1,HV,0.32823077197109163
NSGAII surrogate LSTM 10%,DTLZ7,2,EP,0.5653099974572432
NSGAII surrogate LSTM 10%,DTLZ7,2,HV,0.2346457353401518
NSGAII surrogate LSTM 10%,DTLZ7,3,EP,0.6786936789898999
NSGAII surrogate LSTM 10%,DTLZ7,3,HV,0.2726215780560859
NSGAII surrogate LSTM 10%,DTLZ7,4,EP,0.7182983951862618
NSGAII surrogate LSTM 10%,DTLZ7,4,HV,0.24616515214257226
NSGAII surrogate LSTM 10%,DTLZ7,5,EP,0.855654381613451
NSGAII surrogate LSTM 10%,DTLZ7,5,HV,0.2359118618231522
NSGAII surrogate LSTM 10%,DTLZ7,6,EP,0.8690549575777693
NSGAII surrogate LSTM 10%,DTLZ7,6,HV,0.2008081826223589
NSGAII surrogate LSTM 10%,DTLZ7,7,EP,0.6975951821669244
NSGAII surrogate LSTM 10%,DTLZ7,7,HV,0.2505113015350497
NSGAII surrogate LSTM 10%,DTLZ7,8,EP,0.7522297928783623
NSGAII surrogate LSTM 10%,DTLZ7,8,HV,0.23336385448482286
NSGAII surrogate LSTM 10%,DTLZ7,9,EP,0.6909951181773777
NSGAII surrogate LSTM 10%,DTLZ7,9,HV,0.21267486813167769
NSGAII surrogate LSTM 10%,DTLZ7,0,Time,23.358816623687744
NSGAII surrogate LSTM 10%,DTLZ7,1,Time,23.243424892425537
NSGAII surrogate LSTM 10%,DTLZ7,2,Time,23.525116443634033
NSGAII surrogate LSTM 10%,DTLZ7,3,Time,23.55172920227051
NSGAII surrogate LSTM 10%,DTLZ7,4,Time,23.88262367248535
NSGAII surrogate LSTM 10%,DTLZ7,5,Time,25.24113821983337
NSGAII surrogate LSTM 10%,DTLZ7,6,Time,25.21629428863525
NSGAII surrogate LSTM 10%,DTLZ7,7,Time,23.844264030456547
NSGAII surrogate LSTM 10%,DTLZ7,8,Time,23.55215740203857
NSGAII surrogate LSTM 10%,DTLZ7,9,Time,23.714075088500977
NSGAII surrogate LSTM 20%,DTLZ7,0,EP,0.6186143489586327
NSGAII surrogate LSTM 20%,DTLZ7,0,HV,0.2399982341042701
NSGAII surrogate LSTM 20%,DTLZ7,1,EP,0.6105755528306149
NSGAII surrogate LSTM 20%,DTLZ7,1,HV,0.2776127926158752
NSGAII surrogate LSTM 20%,DTLZ7,2,EP,0.5541603839046815
NSGAII surrogate LSTM 20%,DTLZ7,2,HV,0.2827611308907612
NSGAII surrogate LSTM 20%,DTLZ7,3,EP,0.7186800613425941
NSGAII surrogate LSTM 20%,DTLZ7,3,HV,0.2561316970988126
NSGAII surrogate LSTM 20%,DTLZ7,4,EP,0.5781200452133175
NSGAII surrogate LSTM 20%,DTLZ7,4,HV,0.24680019148790916
NSGAII surrogate LSTM 20%,DTLZ7,5,EP,0.5829531408577728
NSGAII surrogate LSTM 20%,DTLZ7,5,HV,0.3344558858216081
NSGAII surrogate LSTM 20%,DTLZ7,6,EP,0.7023142757754702
NSGAII surrogate LSTM 20%,DTLZ7,6,HV,0.2301061632614078
NSGAII surrogate LSTM 20%,DTLZ7,7,EP,0.5746112453848555
NSGAII surrogate LSTM 20%,DTLZ7,7,HV,0.26203816649938944
NSGAII surrogate LSTM 20%,DTLZ7,8,EP,0.7165232460726956
NSGAII surrogate LSTM 20%,DTLZ7,8,HV,0.2468527348469112
NSGAII surrogate LSTM 20%,DTLZ7,9,EP,0.6231012966402216
NSGAII surrogate LSTM 20%,DTLZ7,9,HV,0.2320464041336599
NSGAII surrogate LSTM 20%,DTLZ7,0,Time,19.753033876419067
NSGAII surrogate LSTM 20%,DTLZ7,1,Time,20.05381226539612
NSGAII surrogate LSTM 20%,DTLZ7,2,Time,20.03755211830139
NSGAII surrogate LSTM 20%,DTLZ7,3,Time,20.167402505874637
NSGAII surrogate LSTM 20%,DTLZ7,4,Time,21.565401792526245
NSGAII surrogate LSTM 20%,DTLZ7,5,Time,20.083596706390377
