Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII surrogate iSOUPTR 10%,DTLZ7,4,EP,0.8177580613279929
NSGAII surrogate iSOUPTR 10%,DTLZ7,4,HV,0.24172216572482078
NSGAII surrogate iSOUPTR 10%,DTLZ7,5,EP,0.8416691311328863
NSGAII surrogate iSOUPTR 10%,DTLZ7,5,HV,0.225084380607888
NSGAII surrogate iSOUPTR 10%,DTLZ7,6,EP,0.6763457166062495
NSGAII surrogate iSOUPTR 10%,DTLZ7,6,HV,0.21740883240373743
NSGAII surrogate iSOUPTR 10%,DTLZ7,7,EP,0.6776361238721602
NSGAII surrogate iSOUPTR 10%,DTLZ7,7,HV,0.21433953426931257
NSGAII surrogate iSOUPTR 10%,DTLZ7,8,EP,0.7103103029586177
NSGAII surrogate iSOUPTR 10%,DTLZ7,8,HV,0.2195441459124129
NSGAII surrogate iSOUPTR 10%,DTLZ7,9,EP,0.673636558609874
NSGAII surrogate iSOUPTR 10%,DTLZ7,9,HV,0.28137228600103054
NSGAII surrogate iSOUPTR 10%,DTLZ7,0,Time,19.025481700897217
NSGAII surrogate iSOUPTR 10%,DTLZ7,1,Time,20.393767833709717
NSGAII surrogate iSOUPTR 10%,DTLZ7,2,Time,19.0820152759552
NSGAII surrogate iSOUPTR 10%,DTLZ7,3,Time,18.169307947158813
NSGAII surrogate iSOUPTR 10%,DTLZ7,4,Time,19.58650279045105
NSGAII surrogate iSOUPTR 10%,DTLZ7,5,Time,20.406066417694092
NSGAII surrogate iSOUPTR 10%,DTLZ7,6,Time,20.696206092834473
NSGAII surrogate iSOUPTR 10%,DTLZ7,7,Time,18.86764121055603
NSGAII surrogate iSOUPTR 10%,DTLZ7,8,Time,19.108930826187134
NSGAII surrogate iSOUPTR 10%,DTLZ7,9,Time,19.034613609313965
NSGAII surrogate iSOUPTR 20%,DTLZ2,0,EP,-0.04856301817148678
NSGAII surrogate iSOUPTR 20%,DTLZ2,0,HV,10.862648347683734
NSGAII surrogate iSOUPTR 20%,DTLZ2,1,EP,0.009902179311433057
NSGAII surrogate iSOUPTR 20%,DTLZ2,1,HV,10.085147743402484
NSGAII surrogate iSOUPTR 20%,DTLZ2,2,EP,-0.03456792311723056
NSGAII surrogate iSOUPTR 20%,DTLZ2,2,HV,11.741221873698768
NSGAII surrogate iSOUPTR 20%,DTLZ2,3,EP,-0.025316157902237457
NSGAII surrogate iSOUPTR 20%,DTLZ2,3,HV,11.158348828882719
NSGAII surrogate iSOUPTR 20%,DTLZ2,4,EP,-0.028224032876024485
NSGAII surrogate iSOUPTR 20%,DTLZ2,4,HV,10.394113099092996
NSGAII surrogate iSOUPTR 20%,DTLZ2,5,EP,-0.004911268799144292
NSGAII surrogate iSOUPTR 20%,DTLZ2,5,HV,13.946319301670442
NSGAII surrogate iSOUPTR 20%,DTLZ2,6,EP,-0.06651020343037319
NSGAII surrogate iSOUPTR 20%,DTLZ2,6,HV,10.830998643075631
NSGAII surrogate iSOUPTR 20%,DTLZ2,7,EP,0.009889480591756095
NSGAII surrogate iSOUPTR 20%,DTLZ2,7,HV,10.656641222671118
NSGAII surrogate iSOUPTR 20%,DTLZ2,8,EP,-0.020704103796258533
NSGAII surrogate iSOUPTR 20%,DTLZ2,8,HV,10.730030163641791
NSGAII surrogate iSOUPTR 20%,DTLZ2,9,EP,0.092978148317718
NSGAII surrogate iSOUPTR 20%,DTLZ2,9,HV,9.302702321658392
NSGAII surrogate iSOUPTR 20%,DTLZ2,0,Time,12.997104406356812
NSGAII surrogate iSOUPTR 20%,DTLZ2,1,Time,13.202182531356812
NSGAII surrogate iSOUPTR 20%,DTLZ2,2,Time,13.132215023040771
NSGAII surrogate iSOUPTR 20%,DTLZ2,3,Time,13.376704931259155
NSGAII surrogate iSOUPTR 20%,DTLZ2,4,Time,13.378809928894043
NSGAII surrogate iSOUPTR 20%,DTLZ2,5,Time,13.930391788482666
NSGAII surrogate iSOUPTR 20%,DTLZ2,6,Time,13.336492776870728
NSGAII surrogate iSOUPTR 20%,DTLZ2,7,Time,13.152704000473022
NSGAII surrogate iSOUPTR 20%,DTLZ2,8,Time,13.098165273666382
NSGAII surrogate iSOUPTR 20%,DTLZ2,9,Time,15.11048412322998
NSGAII surrogate iSOUPTR 20%,DTLZ7,0,EP,0.5970681492661791
NSGAII surrogate iSOUPTR 20%,DTLZ7,0,HV,0.7125852999954666
NSGAII surrogate iSOUPTR 20%,DTLZ7,1,EP,0.659223435667057
NSGAII surrogate iSOUPTR 20%,DTLZ7,1,HV,0.27201917389927044
NSGAII surrogate iSOUPTR 20%,DTLZ7,2,EP,0.6593184525851019
NSGAII surrogate iSOUPTR 20%,DTLZ7,2,HV,0.25685972397169404
NSGAII surrogate iSOUPTR 20%,DTLZ7,3,EP,0.639357804637142
NSGAII surrogate iSOUPTR 20%,DTLZ7,3,HV,0.27354787399690134
NSGAII surrogate iSOUPTR 20%,DTLZ7,4,EP,0.678215130588872
NSGAII surrogate iSOUPTR 20%,DTLZ7,4,HV,0.31896227808540717
NSGAII surrogate iSOUPTR 20%,DTLZ7,5,EP,0.6677655247572846
NSGAII surrogate iSOUPTR 20%,DTLZ7,5,HV,0.2567736718743139
NSGAII surrogate iSOUPTR 20%,DTLZ7,6,EP,0.5678794966604753
NSGAII surrogate iSOUPTR 20%,DTLZ7,6,HV,0.3406179697923182
NSGAII surrogate iSOUPTR 20%,DTLZ7,7,EP,0.6425262555508175
NSGAII surrogate iSOUPTR 20%,DTLZ7,7,HV,0.23187833696555898
NSGAII surrogate iSOUPTR 20%,DTLZ7,8,EP,0.6053121213190815
NSGAII surrogate iSOUPTR 20%,DTLZ7,8,HV,0.3568007392417407
NSGAII surrogate iSOUPTR 20%,DTLZ7,9,EP,0.7289738943404666
NSGAII surrogate iSOUPTR 20%,DTLZ7,9,HV,0.25251732405372407
NSGAII surrogate iSOUPTR 20%,DTLZ7,0,Time,20.46073603630066
NSGAII surrogate iSOUPTR 20%,DTLZ7,1,Time,20.822235822677612
NSGAII surrogate iSOUPTR 20%,DTLZ7,2,Time,21.295403480529785
NSGAII surrogate iSOUPTR 20%,DTLZ7,3,Time,19.162281036376953
NSGAII surrogate iSOUPTR 20%,DTLZ7,4,Time,21.274768590927124
NSGAII surrogate iSOUPTR 20%,DTLZ7,5,Time,20.348394632339478
NSGAII surrogate iSOUPTR 20%,DTLZ7,6,Time,19.808026790618896
NSGAII surrogate iSOUPTR 20%,DTLZ7,7,Time,20.626073360443115
NSGAII surrogate iSOUPTR 20%,DTLZ7,8,Time,20.035582304000854
NSGAII surrogate iSOUPTR 20%,DTLZ7,9,Time,19.907493591308594
NSGAII surrogate iSOUPTR 30%,DTLZ2,0,EP,0.026310123171797373
NSGAII surrogate iSOUPTR 30%,DTLZ2,0,HV,10.379403002224675
NSGAII surrogate iSOUPTR 30%,DTLZ2,1,EP,-0.029695771575182106
NSGAII surrogate iSOUPTR 30%,DTLZ2,1,HV,10.177653685632139
NSGAII surrogate iSOUPTR 30%,DTLZ2,2,EP,0.05491819664629342
NSGAII surrogate iSOUPTR 30%,DTLZ2,2,HV,9.423097030878544
NSGAII surrogate iSOUPTR 30%,DTLZ2,3,EP,-0.1269109962209584
NSGAII surrogate iSOUPTR 30%,DTLZ2,3,HV,14.077154141856337
NSGAII surrogate iSOUPTR 30%,DTLZ2,4,EP,0.04317107908230289
NSGAII surrogate iSOUPTR 30%,DTLZ2,4,HV,9.951456558053527
NSGAII surrogate iSOUPTR 30%,DTLZ2,5,EP,-0.21649148852374606
NSGAII surrogate iSOUPTR 30%,DTLZ2,5,HV,19.773425723963626
NSGAII surrogate iSOUPTR 30%,DTLZ2,6,EP,-0.026119595492767544
NSGAII surrogate iSOUPTR 30%,DTLZ2,6,HV,11.797218984395544
NSGAII surrogate iSOUPTR 30%,DTLZ2,7,EP,0.20056304820721377
NSGAII surrogate iSOUPTR 30%,DTLZ2,7,HV,11.36094099987104
NSGAII surrogate iSOUPTR 30%,DTLZ2,8,EP,0.23806381962534404
NSGAII surrogate iSOUPTR 30%,DTLZ2,8,HV,9.719898756791977
